id	direction	origin_kind	producer	fetch_api	current_policy	wrapper_chain	terminal_consumer	operation	byte_range	oos_capable	classification	required_handling	current_handling	verdict	evidence	test	finding_id	followup
F-303	forward	catalog-instance heap record (_db_class)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> or_chn(record) + catcls_get_or_value_from_record -> or_init	catcls_get_or_value_from_record (OR_BUF parse) + or_chn	CHN read + full-record OR_BUF logical parse (then rebuilt via catcls_put_or_value_into_record)	full (OR_BUF parse) + fixed(CHN)	yes	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4504 catcls_update_class_stats -> or_chn(&record) + catcls_get_or_value_from_record; census genuine-Expand site	class-stats update on OOS-backed _db_class row	-	Matches ADR-0003 census
F-304	forward	catalog-instance heap record (_db_charset/collation compat)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> (VOT OOS bit) heap_attrvalue_read_oos_inline -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute value read (charset/lang/timezone ints+strings)	variable (attr-layer resolve, per accessed attr)	unlikely (tiny compat values) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5015 catcls_get_server_compat_info; consumer heap_attrinfo_read_dbvalues (heap_file.c:10909) -> heap_attrvalue_read dispatch at heap_file.c:10479	attr-layer resolve of OOS-backed compat attrs	-	Attribute layer is OOS-aware (verified dispatch)
F-305	forward	catalog-instance heap record (_db_collation)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute value read (coll id/name/checksum)	variable (attr-layer resolve)	unlikely (tiny) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5468 catcls_get_db_collation; consumer heap_attrinfo_read_dbvalues	attr-layer resolve	-	-
F-306	forward	catalog-instance heap record (ha apply-info)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute datetime read	variable (attr-layer resolve)	unlikely (tiny) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5680 catcls_get_apply_info_log_record_time; consumer heap_attrinfo_read_dbvalues	attr-layer resolve	-	-
F-307	forward	class-object heap record (root class)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> [release] class_oid used for lock+catalog_check_class_consistency; [debug only] or_class_name(&peek)	class_oid (heap_next out param); debug-only or_class_name	release: body unused (OID drives checks); debug: or_class_name reads variable-attr-0 (class name) raw via OR_VAR_OFFSET	none (release) / variable-attr-0 (debug or_class_name)	no (root class objects serialized by tf_class_to_disk, NOT the instance demotion path)	NO_BODY	DONT	DONT	CORRECT	src/storage/system_catalog.c:4719 catalog_check_consistency; or_class_name at object_representation.c:249 OR_VAR_OFFSET(record->data,0); class transform tf_class_to_disk (transform_cl.c:4546)	checkdb over catalog	-	or_class_name does a raw var-area read but class objects are not OOS-capable; if that ever changes, debug path would need review
F-308	forward	class-object heap record (root class)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> class_oid used for repr dump; debug-only or_class_name(&peek)	class_oid; debug-only or_class_name	release: body unused; debug: or_class_name raw var-attr-0 read	none (release) / variable-attr-0 (debug)	no (class objects not OOS-demoted)	NO_BODY	DONT	DONT	CORRECT	src/storage/system_catalog.c:5031 catalog_dump; same or_class_name pattern as F-307	catalog dump diag	-	Same nuance as F-307
F-309	forward	user-class instance heap record	heap_next	heap_next	DONT	heap_next(PEEK/COPY,DONT) -> or_mvcc_get_header + heap_attrinfo_read_dbvalues(filter) + heap_attrinfo_generate_key -> heap_attrinfo_read_dbvalues -> oos_read	heap_attrinfo_generate_key / heap_attrinfo_read_dbvalues (attribute layer) + MVCC header	MVCC header read (visibility) + attr-layer key/filter value extraction	header/CHN (MVCC) + variable (attr-layer key extract)	yes (index build over user tables; key attrs can be OOS-backed)	RESOLVE	DONT	DONT	CORRECT	src/storage/btree_load.c:3731 btree_sort_get_next; heap_attrinfo_generate_key calls heap_attrinfo_read_dbvalues (heap_file.c:14078,14098)	build index whose key column is OOS-backed; verify key value resolved	-	Attr-layer path resolves OOS key values; correct and cheaper than Expand
F-310	forward	user-class instance heap record	heap_next	heap_next	DONT	heap_next(COPY,DONT) -> heap_attrinfo_read_dbvalues(filter) + heap_attrinfo_generate_key -> heap_attrinfo_read_dbvalues -> oos_read	heap_attrinfo_generate_key / heap_attrinfo_read_dbvalues (attribute layer)	attr-layer key/filter value extraction for online index build	variable (attr-layer key extract)	yes (online index over user tables)	RESOLVE	DONT	DONT	CORRECT	src/storage/btree_load.c:5379 online_index_builder; same generate_key -> read_dbvalues chain	online CREATE INDEX on OOS-backed key column	-	-
F-311	forward	existence check (recdes=NULL)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(recdes=NULL) -> heap_get_visible_version_internal: guarded by 'if (context->recdes_p != NULL)' so no record fetch, no Expand	scan_code only (S_SUCCESS vs not)	visibility/existence probe of referenced OID; no record body returned	none (recdes NULL; Expand guarded off)	yes (user instances) but body never materialized	NO_BODY	DONT	CONSUME	OVER_EXPAND	src/executables/compactdb.c:566 process_value; NULL recdes guard at heap_file.c:26464 and comment heap_file.c:26443 ('recdes_p is NULL for existence-only checks e.g. compactdb')	OID-reference validity check	F4-FIND-04	Inert/harmless: Expand never runs with recdes NULL; policy label misleading, should be DONT for clarity
F-312	forward	user-class instance heap record (old version)	heap_get_last_version	heap_init_get_context+heap_get_last_version	DONT	heap_get_last_version -> oldrec -> locator_update_index -> heap_attrinfo_read_dbvalues(old_recdes) -> oos_read	locator_update_index (attribute layer read of old_recdes)	old key value extraction to maintain indexes	variable (attr-layer resolve of old record)	yes (compactdb over user tables)	RESOLVE	DONT	DONT	CORRECT	src/executables/compactdb.c:784 update_indexes -> locator_update_index (locator_sr.c:8389) heap_attrinfo_read_dbvalues(old_recdes) at locator_sr.c:~8519	compactdb index update on OOS-backed row	-	old_recdes consumed via attribute layer, OOS-safe
F-313	forward	existence/class-oid check (recdes=NULL)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(recdes=NULL) -> internal guarded (no fetch, no Expand); ref_class_oid out param used by is_class	scan_code + ref_class_oid (out params)	visibility/existence probe + class-oid classification; no body returned	none (recdes NULL; Expand guarded off)	yes but body never materialized	NO_BODY	DONT	CONSUME	OVER_EXPAND	src/storage/compactdb_sr.c:110 process_value; NULL recdes guard heap_file.c:26464	server-side compact OID-ref validity	F4-FIND-04	Inert/harmless (recdes NULL). Should be DONT for clarity
F-314	forward	user-class instance heap record (current version)	locator_lock_and_get_object	locator_lock_and_get_object	DONT	locator_lock_and_get_object -> copy_recdes -> locator_attribute_info_force(rec_descriptor) -> locator_allocate_copy_area_by_attr_info -> heap_attrinfo_transform_to_disk -> heap_attrinfo_set_uninitialized -> heap_attrvalue_read -> oos_read	heap_attrinfo_transform_to_disk / heap_attrinfo_set_uninitialized (attribute layer)	record rebuilt from resolved dbvalues; unchanged attrs resolved from old_recdes via attr layer	variable (attr-layer resolve of unchanged attrs)	yes (compactdb over user tables)	RESOLVE	DONT	DONT	CORRECT	src/storage/compactdb_sr.c:217 process_object -> locator_attribute_info_force(&copy_recdes) (locator_sr.c:7607,7674,7682) -> transform_to_disk_internal (heap_file.c:12998) heap_attrinfo_set_uninitialized (heap_file.c:13021)	compact rewrite of OOS-backed row; verify unchanged OOS attrs resolved not stub-copied	-	transform rebuilds from attr_info dbvalues; old_recdes stubs resolved via set_uninitialized (Optimization Idea A confirms attr-layer read)
F-315	forward	catalog-instance heap record (_db_stored_procedure_code)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> heap_attrinfo_read_dbvalues -> heap_attrinfo_access -> db_value_clone	heap_attrinfo_read_dbvalues (attribute layer)	single named attribute read (SP code metadata/payload) via attr layer	variable (attr-layer resolve of one attr) -- record-level Expand unneeded	yes (SP code/jar payloads are large -> OOS-capable, and SP-code fetch is a hot path)	RESOLVE	DONT	CONSUME	OVER_EXPAND	src/sp/sp_code.cpp:91 sp_get_code_attr; only consumer heap_attrinfo_read_dbvalues (sp_code.cpp:128) + heap_attrinfo_access (sp_code.cpp:134); ADR-0003 explicitly names SP-code fetch as must-NOT-always-Expand	fetch one attr from OOS-backed SP-code row; assert only accessed attr triggers oos_read (debug oos.log)	F4-FIND-01	Genuine over-expand on a hot path ADR-0003 called out; eager Expand resolves ALL OOS attrs to read one. Should be DONT
F-316	forward	user-class instance heap record (db_user)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> recdes immediately overwritten by heap_get_visible_version at load_server_loader.cpp:246 before any use	none (only inst_oid out param used; recdes reassigned)	body unused; heap_next only supplies next inst_oid	none (recdes overwritten pre-use)	n/a (body discarded)	NO_BODY	DONT	DONT	CORRECT	src/loaddb/load_server_loader.cpp:243 server_class_installer::locate_class_for_all_users; recdes overwritten at line 246-247	loaddb user enumeration	-	heap_next here is purely an OID cursor; body re-fetched by F-317
F-317	forward	user-class instance heap record (db_user)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> heap_attrinfo_read_dbvalues -> db_get_string(name attr)	heap_attrinfo_read_dbvalues (attribute layer)	read db_user 'name' attribute via attr layer	variable (attr-layer resolve of name attr) -- Expand unneeded	yes (db_user instance) though name values are small	RESOLVE	DONT	CONSUME	OVER_EXPAND	src/loaddb/load_server_loader.cpp:247 server_class_installer::locate_class_for_all_users; only consumer heap_attrinfo_read_dbvalues (line 260) -> db_get_string (line 283)	loaddb find-class-for-all-users over db_user	F4-FIND-02	Mechanically-migrated CONSUME; attr layer resolves the one accessed attr. Should be DONT
F-318	forward	user-class instance heap record	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> or_mvcc_get_header only (diagnostic lock dump prints insid/delid)	or_mvcc_get_header (MVCC header only)	MVCC header read for lock-resource diagnostic dump	header/CHN (MVCC header only)	yes (user instances; diag dump can hit OOS-backed rows)	STORED_SAFE	DONT	CONSUME	OVER_EXPAND	src/transaction/lock_manager.c:5644 lock_dump_resource; only consumer or_mvcc_get_header (lock_manager.c:5647); HAS_OOS bit does not affect MVCC header size (OOS-CONTEXT layout note)	lock dump of an OOS-backed instance; header read independent of OOS	F4-FIND-03	Diagnostic path eagerly Expands (extra oos_read I/O) just to print insid/delid. Should be DONT
F-319	forward	user-class instance heap record (db_user)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> db_get_string(name attr)	heap_attrinfo_read_dbvalues (attribute layer)	read db_user 'name' attribute; build SHOW ACCESS STATUS tuples	variable (attr-layer resolve of name attr)	yes (db_user instance) though values small	RESOLVE	DONT	DONT	CORRECT	src/connection/connection_support.cpp:2472 css_make_access_status_exist_user; consumer heap_attrinfo_read_dbvalues (line 2475) -> db_get_string (line 2485)	SHOW ACCESS STATUS over db_user	-	Correct DONT. NOTE separate earlier fetch at conn_support.cpp:2409 uses or_get_attrname on a class-object recdes (raw var-area) -> reverse-audit item, out of this scope
R-001	reverse	wal_undo_image	page (spage_get_record home slot)	-	n/a	heap_update_home->heap_log_update_physical->log_append_undoredo_recdes	log undo image RVHF_UPDATE_NOTIFY_VACUUM	mvcc_update	full (old on-page record)	yes	PRESERVE_PHYSICAL	stored form, OOS stubs intact	stored form (undo=context->home_recdes read from page)	CORRECT	src/storage/heap_file.c:23899 heap_log_update_physical(...,&context->home_recdes,home_page_updated_recdes_p,undo_rcvindex=RVHF_UPDATE_NOTIFY_VACUUM@23778); :24070 log_append_undoredo_recdes(old_recdes_p,new_recdes_p); home_recdes re-read via spage_get_record @23889	5.3/6.1	-	undo image is old on-page record; never an expanded fetch (expand_oos lives only on HEAP_GET_CONTEXT, not HEAP_OPERATION_CONTEXT)
R-002	reverse	wal_undo_image	forward page + home page (spage_get_record)	-	n/a	heap_update_relocation->heap_log_update_physical / heap_mvcc_log_home_change_on_delete->log_append_undoredo_recdes	RVHF_UPDATE_NOTIFY_VACUUM (home) + RVHF_DELETE_NEWHOME_NOTIFY_VACUUM (forward REC_NEWHOME)	mvcc_update_relocation	full (forward REC_NEWHOME carries OOS; home slot is forwarding OID)	yes	PRESERVE_PHYSICAL	stored form stubs intact on forward pre-image	stored form; forward pre-image read from forward page	CORRECT	src/storage/heap_file.c:23572-23573 log home undoredo; :23617-23623 delete_rcvindex=RVHF_DELETE_NEWHOME_NOTIFY_VACUUM for forward REC_NEWHOME; forward recdes from page	5.3	-	forward REC_NEWHOME undo consumed by vacuum forward-walk (R-017)
R-003	reverse	wal_undo_image	home page (forwarding recdes)	-	n/a	heap_update_bigone->heap_log_update_physical	RVHF_UPDATE_NOTIFY_VACUUM (home forwarding slot)	mvcc_update_bigone	header/OID (REC_RELOCATION/REC_BIGONE 8B forwarding OID)	no	PRESERVE_PHYSICAL	physical forwarding pointer only; no OOS in home slot	stored forwarding OID	CORRECT	src/storage/heap_file.c:23343-23344 log; :23161 heap_update_bigone; home undo is forwarding OID, excluded from OOS by vacuum guard vacuum_oos.cpp:245	-	-	OOS+bigone combo rejected at write (CBRD-26937); overflow body not OOS-bearing
R-004	reverse	wal_undo_image	home page (spage_get_record)	-	n/a	heap_delete_home->heap_mvcc_log_home_change_on_delete->log_append_undoredo_recdes	RVHF_MVCC_DELETE_MODIFY_HOME undo image	mvcc_delete	full (old REC_HOME record)	yes	PRESERVE_PHYSICAL	stored form; DELETE does not touch stubs	stored form (old_recdes=context->home_recdes)	CORRECT	src/storage/heap_file.c:22752-22754 spage_get_record into home_recdes; :22957 heap_mvcc_log_home_change_on_delete(&home_recdes,&forwarding_recdes); :20273 log_append_undoredo_recdes	6.2	-	DELETE keeps same OIDs on live record; reclaimed by normal REMOVE path not forward-walk (vacuum.c:3573)
R-005	reverse	wal_undo_image	forward page (spage_get_record)	-	n/a	heap_delete_relocation->heap_mvcc_log_home_change_on_delete / log_append_undoredo_recdes	RVHF_MVCC_DELETE_MODIFY_HOME / RVHF_DELETE	mvcc_delete_relocation	full (forward REC_NEWHOME record)	yes	PRESERVE_PHYSICAL	stored form stubs intact	stored form; forward recdes from page	CORRECT	src/storage/heap_file.c:22494-22496 spage_get_record; :22507 heap_mvcc_log_home_change_on_delete; :22597 log_append_undoredo_recdes(RVHF_DELETE,&forward_recdes,NULL)	6.2	-	-
R-006	reverse	wal_undo_image	home page (forwarding recdes)	-	n/a	heap_delete_bigone->log	RVHF_MVCC_DELETE_MODIFY_HOME (forwarding)	mvcc_delete_bigone	header/OID (forwarding OID)	no	PRESERVE_PHYSICAL	physical forwarding pointer only	stored forwarding OID	CORRECT	src/storage/heap_file.c:22028 heap_delete_bigone; overflow body handled separately, home slot is forwarding OID	-	-	OOS+bigone rejected at write time
R-007	reverse	wal_redo_image	caller recdes (heap_attrinfo_transform_to_disk)	-	n/a	heap_insert_physical->heap_log_insert_physical->log_append_undoredo_recdes	RVHF_INSERT / RVHF_INSERT_NEWHOME redo image	insert	full (new record, freshly built with stubs)	yes	PRESERVE_PHYSICAL	stored form; new stubs are the canonical on-disk form	stored form (record built by transform_to_disk with demotion+stubs)	CORRECT	src/storage/heap_file.c:21905-21914 log_append_undoredo_recdes(NULL,&recdes) INSERT/INSERT_NEWHOME; redo image is the stored record	5.1/5.2	-	insert has no old-version undo; redo image is authoritative stored form
R-008	reverse	recovery_redo	log rcv->data (physical image)	-	n/a	heap_rv_redo_update/heap_rv_undo_update->heap_rv_undoredo_update->heap_update_physical	spage physical slot write	recovery_redo_undo_update	full (physical slotted-page image)	yes	PRESERVE_PHYSICAL	apply raw bytes; never interpret variable area	physical: recdes.data=rcv->data+INT16, heap_update_physical	CORRECT	src/storage/heap_file.c:17601-17627 heap_rv_undoredo_update reads recdes.type from rcv->data then heap_update_physical; no OOS reference in any heap_rv_* fn	5.3/5.4	-	recovery treats heap record as opaque physical image
R-009	reverse	recovery_undo	log rcv->data (undo image)	-	n/a	heap_rv_undo_delete->heap_rv_redo_insert (spage_insert)	spage physical slot insert	recovery_undo_delete	full (old record re-inserted, stubs intact)	yes	PRESERVE_PHYSICAL	re-insert stored undo image physically	physical re-insert	CORRECT	src/storage/heap_file.c:17518-17544 heap_rv_undo_delete->heap_rv_redo_insert; then vacuum_rv_check_at_undo	5.2	-	undo of delete restores old physical record with stubs pointing to live chains
R-010	reverse	recovery_redo	log rcv->data	-	n/a	heap_rv_redo_delete->spage_delete/mark	spage physical delete	recovery_redo_delete	header/CHN (MVCC delete id apply)	yes	PRESERVE_PHYSICAL	physical delete-mark; stubs untouched	physical	CORRECT	src/storage/heap_file.c:17161 heap_rv_redo_delete; physical slot op, no OOS interpretation	-	-	-
R-011	reverse	recovery_redo	log rcv->data (record image)	-	n/a	heap_rv_redo_insert / heap_rv_mvcc_redo_insert->spage_insert	spage physical insert	recovery_redo_insert	full (physical record image with stubs)	yes	PRESERVE_PHYSICAL	physical insert of stored image	physical	CORRECT	src/storage/heap_file.c:16893 heap_rv_redo_insert; :17014 heap_rv_mvcc_redo_insert; no OOS interpretation	5.1	-	-
R-012	reverse	recovery_undo	log rcv (slotid)	-	n/a	heap_rv_undo_insert->spage_delete	spage physical delete	recovery_undo_insert	none (logical delete of inserted slot)	yes	PRESERVE_PHYSICAL	physical slot removal	physical	CORRECT	src/storage/heap_file.c:17108 heap_rv_undo_insert; OOS chunk undo logged separately by oos_rv_*	5.2	-	OOS value chains have independent oos_rv_* redo/undo
R-013	reverse	mvcc_old_version	undo log (log_get_undo_record reconstruction)	-	n/a	heap_get_visible_version_from_log->log_get_undo_record	reconstructed old-version recdes (stored form)	mvcc_snapshot_old_version	full (old record reconstructed from undo)	yes	PRESERVE_PHYSICAL	reconstruct stored form with stubs intact; do not interpret variable area	physical reconstruction into recdes; stubs intact	CORRECT	src/storage/heap_file.c:26094 log_get_undo_record(...,recdes) inside heap_get_visible_version_from_log; loops prev_version via MVCC_GET_PREV_VERSION_LSA @26138	6.1	-	stored form flows to attribute-layer Resolve for DONT_CONSUME callers
R-014	reverse	mvcc_old_version	reconstructed old-version recdes (from R-013)	heap_get_visible_version_expand_oos (expand_oos flag)	CONSUME_RAW_BYTES when set, else DONT_CONSUME	heap_get_visible_version_internal->heap_get_visible_version_from_log then heap_record_replace_oos_oids	heap_record_replace_oos_oids (opt-in Expand)	mvcc_snapshot_old_version_expand	full->expanded (stubs replaced by values)	yes	EXPAND	expand ONLY when caller policy=CONSUME_RAW_BYTES; else leave stored form	gated: heap_record_replace_oos_oids returns S_SUCCESS immediately for DONT_CONSUME (heap_oos.cpp:362), expands only for CONSUME_RAW_BYTES	CORRECT	src/storage/heap_file.c:26441-26445 after from_log: if(S_SUCCESS && recdes_p) heap_record_replace_oos_oids(); gate src/storage/heap_oos.cpp:362-367 (DONT_CONSUME->no-op) & :351	6.1	-	ANSWERS Q(b): MVCC old-version path DOES honor CONSUME_RAW_BYTES; raw consumers get expanded old version, others get stored form
R-015	reverse	recovery_redo	log page bytes (logpb_copy_from_log)	-	n/a	log_get_undo_record (byte copy + optional unzip)	physical undo bytes -> caller recdes	undo_record_reconstruction	full (raw undo bytes)	n/a	PRESERVE_PHYSICAL	copy/unzip raw bytes only; no schema/variable-area parse	physical byte copy; no OOS logic	CORRECT	src/transaction/log_manager.c:9801 log_get_undo_record; copies undo_data area (9897/9920) and unzips (9934); zero OOS awareness	-	-	terminal producer shared by vacuum forward-walk (via vacuum_process_log_record) and MVCC old-version read
R-016	reverse	vacuum	undo recdes (own std::vector<OID> copy of head OOS OIDs)	-	n/a	vacuum_forward_walk_reclaim_oos->vacuum_forward_walk_oos_delete_atomic->oos_delete	oos_delete of old value chains	vacuum_forward_walk_delete	variable (head OOS OIDs extracted from stubs)	yes	PRESERVE_PHYSICAL	interpret stubs AS stubs on stored-form undo image; own sysop	reads stored-form stubs; deletes via oos_delete in dedicated sysop	CORRECT	src/query/vacuum_oos.cpp:153-203 vacuum_forward_walk_oos_delete_atomic; OIDs from heap_recdes_get_oos_oids @286; log_sysop_start/commit @171/196	5.5	CBRD-26950	depends on invariant 2 (undo holds stubs); OID list passed by value b/c oos_delete rotates log page
R-017	reverse	vacuum	log block undo_data (vacuum_process_log_record)	-	n/a	vacuum_process_log_block->vacuum_process_log_record->vacuum_forward_walk_reclaim_oos->heap_recdes_get_oos_oids	head OOS OID extraction from undo pre-image	vacuum_forward_walk_reclaim	variable (VOT + stub OIDs on REC_HOME/REC_NEWHOME undo)	yes	PRESERVE_PHYSICAL	only REC_HOME/REC_NEWHOME + HAS_OOS; copy to stable buffer before page fix	REC_HOME/REC_NEWHOME + heap_recdes_contains_oos guard; stable_copy before lookup	CORRECT	src/query/vacuum_oos.cpp:222-319; guard @245; stable_copy memcpy @269; src/query/vacuum.c:3576-3578 (RVHF_UPDATE_NOTIFY_VACUUM) & :3711-3717 (RVHF_DELETE_NEWHOME_NOTIFY_VACUUM)	5.5/6.1	-	undo_data sourced from log via vacuum_process_log_record @vacuum.c:3515; stored form
R-018	reverse	vacuum	current heap record on page (helper->record via spage_get_record)	-	n/a	vacuum_heap_record->vacuum_heap_oos_delete_within_sysop->oos_delete	oos_delete within caller sysop	vacuum_current_record	variable (head OOS OIDs from stored record)	yes	PRESERVE_PHYSICAL	interpret stubs AS stubs on stored on-page record; caller's sysop	reads helper->record stubs; deletes in caller sysop	CORRECT	src/query/vacuum_oos.cpp:399-426 vacuum_heap_oos_delete_within_sysop; heap_recdes_get_oos_oids @404; callers src/query/vacuum.c:2522 (REC_RELOCATION) & :2597 (REC_HOME) inside sysop	3.1	-	helper->record read from heap/forward page; stored form
R-019	reverse	vacuum	current heap record on page (helper->record)	-	n/a	vacuum_heap_record->vacuum_oos_find_vfid_for_heap_record->heap_recdes_contains_oos	OOS-flag probe on stored record	vacuum_vfid_lookup	header/CHN (MVCC flag read only)	yes	PRESERVE_PHYSICAL	read HAS_OOS flag from stored record; no expand	reads MVCC flag via heap_recdes_contains_oos on stored record	CORRECT	src/query/vacuum_oos.cpp:338-380 vacuum_oos_find_vfid_for_heap_record; heap_recdes_contains_oos @342; callers vacuum.c:2088,2204	-	-	abort() instrumentation for flag-set-but-no-OOS-file (REVERT BEFORE MERGE)
R-020	reverse	vacuum	stored heap/undo record (RECDES)	-	n/a	heap_recdes_get_oos_oids (VOT walk + OR_IS_OOS)	head OOS OID vector	stub_oid_extraction	variable (VOT entries + 8B head OOS OID per OOS stub)	yes	PRESERVE_PHYSICAL	requires stored form (stubs present); reads OR_VAR_BIT_OOS + stub OID	physical VOT walk; empty result if no HAS_OOS flag	CORRECT	src/storage/heap_file.c:27747-27810 heap_recdes_get_oos_oids; heap_recdes_contains_oos guard @27754; OR_IS_OOS @27790; or_get_oid @27801	-	-	terminal stored-form consumer for R-016/R-017/R-018/R-021..024; safe no-op on expanded image (no HAS_OOS flag)
R-021	reverse	vacuum	home page (context->home_recdes) + new record (context->recdes_p)	-	n/a	heap_update_home(!is_mvcc)->heap_oos_delete_unreferenced->oos_delete	eager oos_delete of unreferenced old chains	sa_eager_update_home	variable (old vs new head OOS OIDs)	yes	PRESERVE_PHYSICAL	stored form both images; delete old\new set	stored form; old=home_recdes(page), new=recdes_p(built)	CORRECT	src/storage/heap_file.c:23944-23947 (!is_mvcc && REC_HOME && contains_oos); heap_oos.cpp:702-761 heap_oos_delete_unreferenced keeps old INTERSECT new	2.1	-	SA_MODE / MVCC-disabled catalog class; no vacuum so eager delete at update
R-022	reverse	vacuum	forward page (forward_recdes) + new record (context->recdes_p)	-	n/a	heap_update_relocation(!is_mvcc)->heap_oos_delete_unreferenced->oos_delete	eager oos_delete	sa_eager_update_relocation	variable (old vs new head OOS OIDs)	yes	PRESERVE_PHYSICAL	stored form forward pre-image	stored form; forward_recdes from page	CORRECT	"src/storage/heap_file.c:23461 heap_oos_delete_unreferenced(...,&forward_recdes,context->recdes_p,""update relocation"")"	2.1	-	forward REC_NEWHOME carries the OOS attributes
R-023	reverse	vacuum	home page (context->home_recdes)	-	n/a	heap_delete_home(!is_mvcc)->heap_oos_delete_unreferenced(new=NULL)->oos_delete	eager oos_delete of all old chains	sa_eager_delete_home	variable (all head OOS OIDs)	yes	PRESERVE_PHYSICAL	stored form; new=NULL deletes all	stored form; old=home_recdes(page)	CORRECT	"src/storage/heap_file.c:23022-23024 heap_oos_delete_unreferenced(...,&context->home_recdes,NULL,""delete home"")"	3.1	-	new_recdes==NULL => delete every old OOS OID unconditionally
R-024	reverse	vacuum	forward page (forward_recdes)	-	n/a	heap_delete_relocation(!is_mvcc)->heap_oos_delete_unreferenced(new=NULL)->oos_delete	eager oos_delete	sa_eager_delete_relocation	variable (all head OOS OIDs)	yes	PRESERVE_PHYSICAL	stored form forward pre-image	stored form; forward_recdes from page	CORRECT	"src/storage/heap_file.c:22678 heap_oos_delete_unreferenced(...,&forward_recdes,NULL,""delete relocation"")"	3.1	-	-
R-025	reverse	rollback	undo log records (applied via recovery RV funcs)	-	n/a	log_rollback->log_rv_undo_record->heap_rv_undo_update/heap_rv_undo_delete (heap_update_physical/spage)	physical restore of previous record	transaction_rollback	full (physical undo image)	yes	PRESERVE_PHYSICAL	physical restore only; stubs point to live chains	physical (shares R-008/R-009 RV funcs)	CORRECT	src/transaction/log_manager.c log_rollback drives log_rv_undo_record -> heap_rv_undo_* (heap_file.c:17553/17518); no OOS interpretation; OOS chunks restored via oos_rv_*	4.1/4.2	-	rollback restores previous record whose head OOS OIDs still reference live value chains (invariant 2)
X-001	reverse	recovery_redo	btree undo key buffers (RVBT_*)	-	n/a	vacuum_process_log_block btree branch->btree_rv_read_keybuf_*	btree_vacuum_object/insert_mvccid	btree_vacuum	n/a (btree key, not heap recdes)	no	EXCLUDED	n/a	n/a	EXCLUDED	src/query/vacuum.c:3581-3695 LOG_IS_MVCC_BTREE_OPERATION; btree_rv_read_keybuf_nocopy/two_objects; not a heap record image	-	-	non-heap: btree key buffers carry OIDs not OOS stubs
X-002	reverse	recovery_redo	lob es_uri string (or_unpack_string)	-	n/a	vacuum.c RVES_NOTIFY_VACUUM->es_delete_file	es_delete_file	lob_vacuum	n/a (URI string)	no	EXCLUDED	n/a	n/a	EXCLUDED	src/query/vacuum.c:3696-3709; external LOB storage URI, unrelated to OOS inline stubs	-	-	external LOB (es.c), distinct subsystem
X-003	reverse	recovery_redo	heap header/chain/stats structs	-	n/a	log_append_redo_data RVHF_STATS/RVHF_CHAIN/RVHF_CREATE_HEADER/RVHF_REUSE_PAGE	header/chain redo	heap_meta_recovery	header struct (not record body)	no	EXCLUDED	n/a	n/a	EXCLUDED	src/storage/heap_file.c:4073,4307,4897,5165,5277,6100,12246; heap metadata, no variable area / OOS stubs	-	-	metadata pages, no VOT
X-004	reverse	wal_undo_image	overflow record (ovf_recdes)	-	n/a	heap_update_bigone->log_append_undo_recdes2 RVHF_MVCC_UPDATE_OVERFLOW	overflow slot undo	mvcc_overflow_update	full (overflow record body)	no	EXCLUDED	n/a	n/a	EXCLUDED	src/storage/heap_file.c:23227 log_append_undo_recdes2(RVHF_MVCC_UPDATE_OVERFLOW,...,&ovf_recdes); OOS+REC_BIGONE rejected at write (CBRD-26937)	9.6	-	OOS cannot coexist with REC_BIGONE; overflow body is non-OOS
